model,zone,planning_year,case,unit,value
SWITCH,BASN,2027,base_52_week,kg,27047529900.619335
SWITCH,CANO,2027,base_52_week,kg,19776134761.292915
SWITCH,CASO,2027,base_52_week,kg,20536583859.776836
SWITCH,FRCC,2027,base_52_week,kg,75156201633.89003
SWITCH,ISNE,2027,base_52_week,kg,29085832197.803497
SWITCH,MISC,2027,base_52_week,kg,38363625641.67363
SWITCH,MISE,2027,base_52_week,kg,32941973771.559437
SWITCH,MISS,2027,base_52_week,kg,52062406611.63477
SWITCH,MISW,2027,base_52_week,kg,44337346091.292465
SWITCH,NWPP,2027,base_52_week,kg,16263471358.738184
SWITCH,NYCW,2027,base_52_week,kg,9322423790.467155
SWITCH,NYUP,2027,base_52_week,kg,12110308723.083988
SWITCH,PJMC,2027,base_52_week,kg,13313730608.864977
SWITCH,PJMD,2027,base_52_week,kg,17660774520.78619
SWITCH,PJME,2027,base_52_week,kg,79205661192.92738
SWITCH,PJMW,2027,base_52_week,kg,93649947422.26575
SWITCH,RMRG,2027,base_52_week,kg,16516479269.102848
SWITCH,SPPC,2027,base_52_week,kg,19650322795.890972
SWITCH,SPPN,2027,base_52_week,kg,8383899019.942052
SWITCH,SPPS,2027,base_52_week,kg,20243622728.185867
SWITCH,SRCA,2027,base_52_week,kg,39249523160.78001
SWITCH,SRCE,2027,base_52_week,kg,35774577087.08998
SWITCH,SRSE,2027,base_52_week,kg,53040357392.75193
SWITCH,SRSG,2027,base_52_week,kg,21340738382.54681
SWITCH,TRE,2027,base_52_week,kg,70513035205.9281
SWITCH,TREW,2027,base_52_week,kg,7453492713.104265
SWITCH,BASN,2030,base_52_week,kg,3472509010.3784556
SWITCH,CANO,2030,base_52_week,kg,5217039252.336634
SWITCH,CASO,2030,base_52_week,kg,7425146479.319467
SWITCH,FRCC,2030,base_52_week,kg,11100877845.381643
SWITCH,ISNE,2030,base_52_week,kg,9848019433.238342
SWITCH,MISC,2030,base_52_week,kg,3834413341.0578976
SWITCH,MISE,2030,base_52_week,kg,3299902262.313217
SWITCH,MISS,2030,base_52_week,kg,12449337321.566818
SWITCH,MISW,2030,base_52_week,kg,6572440794.580694
SWITCH,NWPP,2030,base_52_week,kg,980355133.7947099
SWITCH,NYCW,2030,base_52_week,kg,3402176133.468144
SWITCH,NYUP,2030,base_52_week,kg,3991696805.592007
SWITCH,PJMC,2030,base_52_week,kg,5209783145.807525
SWITCH,PJMD,2030,base_52_week,kg,4900050909.450938
SWITCH,PJME,2030,base_52_week,kg,35176385420.47618
SWITCH,PJMW,2030,base_52_week,kg,14857113216.107805
