model,line_name,planning_year,case,unit,value
SWITCH,PJMC_to_MISC,2027,base_52_week,MW,5.908032107981853e-07
SWITCH,PJMC_to_PJMW,2027,base_52_week,MW,3.5193197618355043e-06
SWITCH,PJMC_to_MISW,2027,base_52_week,MW,9.46120053413324e-08
SWITCH,PJME_to_NYUP,2027,base_52_week,MW,5.008998869016068e-07
SWITCH,PJME_to_PJMW,2027,base_52_week,MW,2.1808928067912348e-06
SWITCH,PJME_to_NYCW,2027,base_52_week,MW,4535.653420944494
SWITCH,PJME_to_PJMD,2027,base_52_week,MW,2.7357006501915748e-05
SWITCH,MISE_to_MISC,2027,base_52_week,MW,8.01203702520583e-05
SWITCH,MISE_to_PJMW,2027,base_52_week,MW,5.905781108594965e-07
SWITCH,MISE_to_MISW,2027,base_52_week,MW,6.024090027593063e-05
SWITCH,ISNE_to_NYUP,2027,base_52_week,MW,3.3064884519262705e-07
SWITCH,ISNE_to_NYCW,2027,base_52_week,MW,9.161794878309593e-09
SWITCH,MISC_to_SPPC,2027,base_52_week,MW,2.202029691034113e-06
SWITCH,MISC_to_PJMW,2027,base_52_week,MW,5.273530405247584e-06
SWITCH,MISC_to_SRCE,2027,base_52_week,MW,3.3893138606799766e-07
SWITCH,MISC_to_SPPS,2027,base_52_week,MW,5.697468168364139e-07
SWITCH,MISC_to_MISS,2027,base_52_week,MW,1.4588538306270493e-06
SWITCH,MISC_to_SPPN,2027,base_52_week,MW,0.0001630592553229
SWITCH,MISC_to_MISW,2027,base_52_week,MW,3.2516709325136617e-07
SWITCH,CANO_to_BASN,2027,base_52_week,MW,2.1538259886710875e-07
SWITCH,CANO_to_CASO,2027,base_52_week,MW,1.5476247881451854e-05
SWITCH,CANO_to_NWPP,2027,base_52_week,MW,1.2995405995752662e-07
SWITCH,TREW_to_TRE,2027,base_52_week,MW,6.377376848831773e-09
SWITCH,TREW_to_SPPS,2027,base_52_week,MW,1513.0468724236862
SWITCH,SPPC_to_SPPS,2027,base_52_week,MW,7.305607141461223e-08
SWITCH,SPPC_to_MISS,2027,base_52_week,MW,0.000170013051539
SWITCH,SPPC_to_SPPN,2027,base_52_week,MW,1506.434760969507
SWITCH,SPPC_to_MISW,2027,base_52_week,MW,6.683932427617997e-05
SWITCH,FRCC_to_SRSE,2027,base_52_week,MW,2.03233867068775e-06
SWITCH,TRE_to_SPPS,2027,base_52_week,MW,2.3973906309038284e-06
SWITCH,SRCA_to_PJMW,2027,base_52_week,MW,3.4885943023255095e-09
SWITCH,SRCA_to_SRCE,2027,base_52_week,MW,4.1614998735894915e-07
SWITCH,SRCA_to_PJMD,2027,base_52_week,MW,1.245588236997719e-07
SWITCH,SRCA_to_SRSE,2027,base_52_week,MW,6.851951184216887e-08
SWITCH,NYUP_to_NYCW,2027,base_52_week,MW,2.0052084437338635e-08
SWITCH,PJMW_to_SRCE,2027,base_52_week,MW,2.54870428761933e-07
SWITCH,PJMW_to_PJMD,2027,base_52_week,MW,1.0638941603247076e-06
SWITCH,BASN_to_RMRG,2027,base_52_week,MW,6.976006261538714e-08
