cpa_id,cluster
23136,0
23207,0
23215,0
23221,0
23234,0
23236,0
23286,0
23420,0
33723,0
34022,0
34023,0
34983,0
40869,0
40870,0
40871,0
40873,0
22796,1
22834,1
22896,1
23043,1
23060,1
27921,1
27922,1
33965,1
33985,1
33987,1
23175,2
23362,2
23473,2
33724,2
34025,2
34026,2
34029,2
34032,2
35184,2
38095,2
38646,2
38647,2
40920,2
40921,2
22760,3
22771,3
22791,3
33719,3
33993,3
33994,3
23135,4
23159,4
23160,4
23455,4
23490,4
34021,4
34024,4
34982,4
35183,4
38645,4
40872,4
40874,4
40928,4
22759,5
23046,5
23050,5
23082,5
33721,5
33722,5
33995,5
34030,5
34031,5
34263,5
22204,6
22973,6
22982,6
23133,6
23225,6
23290,6
23306,6
34028,6
38094,6
39526,6
40923,6
40924,6
40925,6
40927,6
40931,6
22772,7
23033,7
23034,7
23037,7
23055,7
33718,7
33900,7
33992,7
34262,7
22435,8
22464,8
22487,8
23013,8
23200,8
23279,8
23309,8
30147,8
30148,8
30151,8
30152,8
39527,8
39528,8
40922,8
40930,8
22694,9
23019,9
23072,9
23105,9
30685,9
33902,9
34027,9
22248,10
22420,10
22987,10
23140,10
23168,10
23312,10
23314,10
30149,10
30153,10
34520,10
34976,10
34977,10
34979,10
35327,10
38174,10
40903,10
40926,10
40929,10
40932,10
40933,10
23009,11
23015,11
23390,11
30686,11
33490,11
33534,11
33717,11
33990,11
