cpa_id,cluster
11644,3
13838,2
14225,1
14230,1
14232,1
16817,2
16821,0
16894,0
16896,0
16903,0
16924,0
16934,0
16935,2
16936,0
16937,0
16938,0
16939,0
16940,0
16947,0
16948,0
16949,0
16950,0
16951,0
16960,0
16971,0
16972,2
16973,2
16975,2
16979,0
16987,0
16993,2
16994,2
16996,2
17566,3
17567,0
17569,0
17570,2
17571,0
17572,0
17573,0
17574,0
17575,0
17576,3
17577,3
17578,2
17579,2
17580,0
17581,2
17582,2
17583,2
17584,2
17585,2
17586,2
17587,1
17588,1
17589,1
17590,1
17591,1
17592,1
17593,1
17594,2
17595,1
17596,1
17597,2
17598,1
17599,0
17600,2
17601,1
17602,2
17603,2
17604,0
17605,0
17606,0
17607,0
17608,0
17611,2
17612,1
17613,1
17614,2
17615,0
17616,2
17617,2
17618,2
17619,0
17620,0
17623,2
17624,1
17625,1
17626,1
17627,2
17628,0
17629,0
17630,2
17631,0
17632,0
17635,2
17636,2
17637,2
17638,2
17639,0
17640,2
17641,0
17642,0
17644,0
17645,0
17646,2
17647,1
17648,0
17651,0
17652,2
17653,0
17656,0
17657,0
17669,0
17680,2
17683,1
17684,2
17685,0
17687,1
17688,0
17690,0
17691,1
17692,1
17698,4
17708,0
17714,1
17715,2
17716,2
17723,1
17724,1
17725,2
17726,2
17727,0
17735,0
17736,1
17737,1
17738,0
17739,0
17748,2
17749,0
17760,2
17761,2
17992,3
17993,3
17994,0
17997,0
17998,0
17999,0
18000,0
18001,0
18002,0
18003,0
18004,2
18005,0
18006,0
18007,0
18008,0
18009,0
18010,0
18011,2
18012,2
18013,2
18014,0
18015,0
18016,2
18017,2
18018,0
18019,0
18020,0
18021,2
18022,2
18023,2
18024,2
18025,2
18026,2
18027,0
18029,0
18030,0
18032,1
18033,2
18034,2
18035,2
18036,2
18037,0
18038,0
18044,0
18090,2
18092,1
18093,1
18109,0
18110,0
18111,3
18127,0
18131,3
18132,0
18133,0
18134,0
18135,0
18136,0
18137,0
18138,0
18139,0
18143,3
18144,3
18147,3
18150,3
18151,0
18152,0
18153,0
18154,0
18155,0
18156,0
18157,0
18158,0
18161,3
18162,3
18163,3
18164,3
18165,3
18167,3
18168,0
18169,0
18170,0
18171,0
18172,0
18173,0
18174,0
18175,0
18178,0
18179,0
18180,3
18184,0
18196,0
18197,0
18245,0
18246,0
18247,0
18248,0
18252,0
18253,0
18254,0
18720,2
18766,2
18770,2
18815,0
18827,2
18828,2
18880,0
18881,0
18887,0
19136,1
19137,1
19338,2
19339,2
19515,2
19555,0
19633,0
20266,2
20742,0
20765,0
20766,0
20767,0
20789,0
20811,0
20812,0
20925,0
21777,1
21791,2
21799,4
21809,4
21816,0
21822,4
21836,0
21854,4
21940,3
21980,1
22078,3
22107,0
22115,4
22171,0
22422,1
22632,0
22649,2
22651,1
22736,1
22798,4
25955,2
25956,1
25957,1
26020,0
26045,3
26046,3
26156,3
26157,3
26168,0
26169,0
26177,0
26178,0
26575,3
26577,3
26592,0
26593,0
26594,3
26595,0
26596,0
26600,0
26601,0
26602,3
26605,3
26610,3
26611,0
26905,3
26906,0
26907,3
26919,0
26920,3
26944,3
27556,0
28347,3
29531,0
29556,0
29557,0
29558,0
29577,0
29578,0
29579,0
29628,0
29629,0
29630,0
30052,3
31635,3
31954,1
31957,4
31958,0
31963,2
31968,1
1014,5
1030,5
1209,5
1221,7
1260,5
1287,7
1366,6
1384,5
1413,6
1430,6
1437,6
1440,7
1446,6
1448,6
1449,6
1486,6
1493,5
1508,5
1511,6
1512,5
1514,6
1517,6
1538,6
1544,6
1546,7
1552,5
1560,5
1563,6
1567,6
1568,7
1569,5
1574,7
1585,6
1588,5
1589,5
1591,6
1599,6
1601,7
1604,5
1606,6
1612,5
1617,7
1622,6
1624,6
1627,6
1628,5
1636,5
1654,6
1662,7
1665,7
1668,5
1671,6
1672,5
1679,5
1682,7
1695,6
1704,6
1707,5
1720,7
1723,7
1728,5
1733,6
1738,7
7402,5
11630,6
11631,5
12812,5
13495,6
13513,5
15474,7
15484,6
15485,6
15510,7
15588,5
15825,5
15828,5
15834,5
15835,5
15836,5
15837,5
15838,5
15839,5
15840,5
15849,5
15850,5
15851,5
15852,5
15863,5
15865,5
15880,5
16063,5
16559,5
16560,5
16561,5
16709,5
16710,5
16711,5
16719,5
16752,6
16753,7
16828,5
16838,5
16839,6
16847,5
16867,7
16868,7
16869,5
16870,7
17003,5
17006,5
17007,5
17018,6
17019,5
17020,5
17021,5
17022,5
17023,6
17261,6
17264,7
17270,7
17278,5
17280,6
17281,7
17289,6
17290,6
17291,5
17292,5
17293,5
17297,6
17298,5
17299,6
17300,5
17301,6
17302,5
17303,5
17305,7
17306,7
17307,7
17308,5
17309,5
17310,6
17311,7
17312,6
17313,7
17314,5
17315,5
17316,6
17324,6
17325,6
17326,6
17681,5
17682,7
17686,6
17693,6
17694,7
17696,5
17697,7
17700,6
17701,7
17702,6
17705,7
17706,7
17707,5
17711,6
17712,7
17713,6
17717,5
17720,6
17721,7
17722,6
17728,5
17729,5
17730,5
17731,5
17732,6
17733,7
17734,5
17740,5
17742,5
17743,6
17744,7
17745,6
17751,5
17752,5
17754,5
17756,5
17757,5
17758,7
17759,5
17765,7
17766,7
17768,5
17769,5
17771,5
17772,6
17773,6
17777,5
17778,5
17779,5
17780,5
17782,5
17783,6
17784,7
17785,6
17786,6
17791,7
17792,5
17799,6
17800,5
17805,6
17806,6
17807,7
17814,7
17815,5
17820,5
17834,6
17835,7
17836,5
17845,6
17846,6
17853,6
17859,7
17860,6
17861,6
17867,5
17874,6
17875,5
17876,5
17887,6
17888,6
17889,6
17890,6
17891,5
17904,6
17905,5
17906,6
17907,5
17908,6
17909,5
17910,6
17914,5
17918,6
17919,6
17923,5
17924,5
17928,6
17948,6
17953,5
18091,6
18094,5
18095,5
18096,5
18099,7
18100,5
18101,5
18102,5
18105,5
18106,5
22439,5
22642,5
22648,6
22948,6
32601,5
32603,5
32605,5
32631,5
32635,5
32667,5
34727,5
34728,5
34729,5
34730,6
34740,5
34742,5
34754,5
34782,5
34865,5
34891,5
34907,5
34908,5
34909,5
34910,5
34920,5
34921,5
34922,5
34923,5
34932,5
36910,7
36913,6
36920,6
36921,6
36928,6
36956,6
36978,7
36979,5
39388,5
39394,5
39398,5
39399,5
39400,5
39409,6
39416,6
39417,6
39423,5
39429,5
39433,5
39434,5
39435,5
39436,5
1146,8
1156,8
1194,13
1419,8
1748,13
1753,9
5653,12
10072,12
14887,12
16886,10
16887,8
16895,8
16902,10
16913,10
16914,10
16925,10
16929,10
16931,10
16941,10
16942,10
16945,10
16946,10
16955,9
16956,10
16965,9
16966,9
16974,8
16978,10
16986,8
16988,8
16989,12
17008,8
17568,9
17609,9
17610,9
17621,9
17662,10
17668,10
17674,10
17750,10
17763,10
17801,10
17983,9
17984,11
17986,11
17987,11
17988,11
17989,11
17990,11
17991,9
17995,10
17996,10
18045,10
18046,9
18067,9
18069,10
18070,10
18089,10
18140,9
18141,9
18142,11
18145,11
18146,11
18148,13
18159,9
18166,11
18176,9
18181,11
18183,11
18189,10
18190,9
18191,9
18194,10
18195,10
18216,10
18217,9
18222,8
18224,10
18225,10
18226,9
18228,9
18229,10
18232,10
18236,10
18237,10
18238,10
18240,10
18241,10
18242,8
18624,8
18626,12
18627,12
18633,12
18634,12
18671,8
18672,8
18673,8
18674,12
18680,12
18719,8
18721,8
18723,12
18725,12
18726,12
18728,12
18758,10
18767,8
18768,8
18769,8
18772,12
18773,12
18774,12
18775,12
18816,10
18819,8
18823,8
18824,8
18825,8
18826,8
18829,12
18831,12
18832,12
18882,10
18886,8
18888,8
18889,8
18890,8
18945,10
18954,8
18955,8
19073,8
19074,12
19075,12
19078,8
19135,12
19138,12
19670,13
19850,10
19851,10
19858,10
19859,10
19860,10
19861,10
19862,10
20149,8
20151,10
20153,10
20154,8
20179,8
20180,8
20181,8
20182,8
20183,8
20185,8
20211,8
20213,8
20214,8
20216,8
20237,8
20242,8
20243,8
20244,8
20245,8
20246,8
20247,8
20248,8
20250,8
20273,8
20274,8
20275,8
20276,8
20280,8
20281,8
20290,8
20291,8
20300,8
20301,8
20302,8
20306,8
20307,8
20315,10
20332,8
20352,12
20357,8
20359,8
20370,8
20505,10
20512,10
20513,10
20678,10
20679,10
20680,9
20698,9
