cpa_id,cluster
19213,1
19214,1
19241,1
19242,1
19244,1
19246,1
19247,1
19248,1
19251,1
19252,1
19255,1
19257,1
19262,1
19265,1
19267,1
19271,1
19279,1
19288,1
19290,1
19295,1
19296,1
19301,1
19303,1
19305,1
19310,1
19311,1
19314,1
19316,1
19317,1
19318,1
19323,1
19328,1
19329,1
19334,1
19340,1
19341,1
19346,1
19349,1
19354,1
19356,1
19357,1
19358,1
19361,1
19368,1
19379,1
19383,1
19385,1
19390,1
19395,1
19401,1
19407,1
19411,1
19414,1
19416,1
19417,1
19424,1
19425,1
19427,1
19428,1
19431,1
19438,1
19442,1
19444,1
19447,1
19450,1
19451,1
19452,1
19456,1
19457,1
19458,1
19476,1
19509,1
19520,1
19529,1
19539,1
18696,2
18704,2
18707,2
18708,2
18720,2
18724,2
18732,2
18758,2
18784,2
18791,2
18802,2
18812,2
18820,2
18834,2
18841,2
18849,2
18850,2
18863,2
18873,2
18882,2
18884,2
18886,2
18896,2
18904,2
18916,2
18925,2
18929,2
18947,2
18950,2
18958,2
18965,2
18968,2
18971,2
18972,2
18980,2
18991,2
19007,2
19235,2
19259,2
19260,2
19287,2
19297,2
19309,2
19312,2
19319,2
19335,2
19336,2
19342,2
19343,2
19359,2
19364,2
19369,2
19370,2
19377,2
19381,2
19402,2
19408,2
19410,2
19436,2
19439,2
19453,2
19454,2
19461,2
19462,2
19464,2
19466,2
19467,2
19468,2
18688,3
18691,3
18702,3
18710,3
18712,3
18718,3
18730,3
18741,3
18754,3
18766,3
18769,3
18777,3
18783,3
18787,3
18809,3
18817,3
18818,3
18824,3
18832,3
18836,3
18854,3
18859,3
18861,3
18865,3
18869,3
18902,3
18908,3
18919,3
18924,3
18935,3
18937,3
18938,3
18942,3
18949,3
18951,3
18954,3
18960,3
18962,3
18973,3
18975,3
18976,3
18986,3
18988,3
18990,3
18992,3
18994,3
19001,3
19002,3
19004,3
19011,3
19015,3
19017,3
19022,3
19024,3
19025,3
19030,3
19037,3
19042,3
19053,3
19057,3
