cpa_id,cluster
56951,1
57116,2
57117,2
57135,1
57136,1
57143,2
57144,1
57424,2
57425,0
57471,1
57473,2
57483,1
57612,2
57615,2
58193,2
58195,2
58264,0
58265,0
58266,0
58272,0
58275,0
58276,0
58283,0
58284,1
58285,1
58316,2
58317,2
58318,2
58924,2
58926,2
59056,1
59057,1
59065,1
59066,2
59105,0
73165,0
73187,0
73189,0
73191,0
73192,0
53046,4
53086,4
53102,4
53120,4
55393,4
55395,4
55397,3
55610,3
55611,4
55613,4
55771,5
55963,4
55969,4
55982,5
56336,4
56511,5
56519,5
56613,3
56755,4
56756,4
56757,3
56758,4
56759,4
56760,4
56761,4
56762,4
56763,4
56764,4
56765,4
56766,4
56769,4
56770,4
56771,4
56772,4
56774,3
56775,4
56776,4
56777,4
56778,4
56779,3
56780,4
56781,4
56782,4
56783,5
56784,5
56786,3
56787,3
56788,3
56789,5
56790,3
56900,3
56904,5
56927,3
56950,3
56955,3
56956,3
56957,3
56958,3
56960,3
56961,3
56962,3
56963,3
56964,3
56965,3
56966,3
56968,3
56971,3
56972,3
56973,3
56974,3
56975,3
56976,3
56977,3
56978,3
56979,3
56981,3
56982,3
56983,3
56988,3
56989,3
56990,3
56991,3
56994,3
56995,3
56996,3
56997,3
57000,3
57001,3
57002,4
57003,3
57004,3
57006,3
57007,4
57130,5
57137,3
57139,3
57140,5
57309,3
57311,3
57313,3
57314,3
57318,5
57332,3
57397,3
57399,3
57438,3
57439,5
57465,3
57477,3
57601,3
57605,5
57607,3
58175,5
58943,5
58945,5
58950,5
58951,5
58952,5
59024,3
59030,3
59031,3
59036,3
59106,5
59131,4
73169,5
73171,5
73173,5
73174,5
73175,5
53226,7
53304,8
56903,6
57126,6
57127,6
57132,8
57142,6
57450,8
57455,6
57462,8
57468,8
57472,6
57480,6
57481,8
57484,6
57487,6
57488,6
57489,6
57596,7
57598,7
57599,7
57616,8
57617,8
57618,6
57620,6
58271,8
58313,6
58925,8
58960,6
58977,6
59067,6
52746,9
53130,9
53133,9
53136,11
53140,11
53170,9
53200,9
53212,9
55332,10
55333,10
55400,10
55408,10
55411,10
55412,10
55413,10
55414,10
55627,9
55768,9
55769,10
55772,11
55874,10
55970,10
55971,9
55972,9
56312,9
56316,9
56318,9
56320,9
56325,9
56329,9
56330,9
56333,9
56510,11
56513,9
56520,11
56522,9
56527,11
56528,11
56530,9
56536,9
56539,10
56540,10
56612,9
56616,9
56767,9
56768,9
56773,9
56899,9
56901,9
56929,9
56970,11
56980,9
56984,9
56985,9
56986,9
