cpa_id,cluster
372305,2
327403,2
371854,2
327439,2
414035,2
372163,2
371853,2
371374,1
371331,1
327156,1
371367,2
414037,2
371417,1
327197,1
416050,2
371135,1
371133,1
371655,1
371408,1
371305,1
362694,1
371922,2
371946,2
371315,2
371826,1
414034,2
371332,1
371654,2
362672,1
371833,2
371231,1
371736,1
370851,1
371364,2
371797,1
327318,2
372306,2
327417,2
327265,1
414036,2
371310,1
326928,1
371645,2
371136,1
327131,1
372006,2
371825,1
370750,1
413977,0
371544,2
371308,1
371958,2
362688,1
371734,2
371196,1
371829,1
371910,0
327347,1
371413,1
370804,1
372367,1
327339,2
370852,1
371306,1
327453,0
371789,0
371731,2
371134,1
416051,2
371309,1
371733,2
371772,0
371605,2
371677,1
371138,1
371234,1
371091,0
371276,1
371366,2
371449,1
327064,0
371909,0
371090,1
371267,1
371314,2
371968,2
327438,2
362675,1
327461,0
371646,2
371911,0
370846,1
327387,2
371820,1
371499,1
371194,1
327316,1
371067,0
372364,0
371092,0
371307,1
371502,1
371176,1
413978,0
371173,2
327314,1
362687,1
327120,1
327209,1
371386,2
371779,0
414038,2
327376,1
371979,2
371758,1
371266,0
372077,2
371423,2
327330,2
371358,0
371821,1
370845,1
370786,0
327378,2
372007,2
362674,1
371316,1
327332,1
327266,1
371658,1
370850,1
362634,1
371096,0
362676,1
371501,1
371676,1
371095,0
360820,1
327261,1
372017,2
371500,1
371611,2
370751,1
371445,1
371401,2
327117,1
371094,1
371760,1
371993,2
413983,0
371732,2
371137,1
371436,1
370772,0
327259,1
413982,0
372304,2
371796,1
372281,2
327350,1
371788,0
371503,1
413968,1
371301,1
416022,1
371324,1
371951,2
370995,0
362716,2
327305,2
371806,1
370856,1
413969,0
371728,2
416052,2
371771,0
371730,2
370818,0
370873,0
371238,1
371193,1
371109,1
327363,2
370963,0
327073,1
362673,1
371195,1
371908,0
371317,1
327359,2
371505,1
327349,1
370966,1
370817,0
327140,0
371100,0
371391,1
370787,0
371279,1
370793,1
371275,1
327333,1
327276,1
370864,1
327355,1
327211,1
371504,1
372230,2
371727,2
416027,1
371387,2
371907,0
371062,1
371778,0
327258,1
372286,2
370994,0
326923,1
370800,0
327294,1
370844,1
327194,0
371098,1
370855,1
371099,0
413970,0
371805,1
371322,1
371363,1
371390,1
362429,1
327257,1
327263,1
327354,1
371729,2
372278,2
416017,1
370866,1
371251,1
327274,1
371128,1
370863,0
327466,2
371980,2
370909,1
371190,1
362689,2
372452,0
327429,2
372447,0
416026,1
362691,1
327470,1
327189,0
371613,2
327329,2
371175,1
371764,0
371484,1
327383,2
370801,0
371656,1
371093,1
371192,1
327236,1
327335,1
371116,1
362308,0
362717,2
362693,1
371647,2
371483,2
